L,gm/Id,Ai
4.5e-07,3.30708,46.1297
4.5e-07,3.31362,46.2267
4.5e-07,3.32018,46.3239
4.5e-07,3.32676,46.4214
4.5e-07,3.33337,46.5192
4.5e-07,3.34,46.6172
4.5e-07,3.34665,46.7155
4.5e-07,3.35332,46.814
4.5e-07,3.36002,46.9128
4.5e-07,3.36674,47.0118
4.5e-07,3.37349,47.1111
4.5e-07,3.38026,47.2106
4.5e-07,3.38705,47.3105
4.5e-07,3.39386,47.4105
4.5e-07,3.4007,47.5109
4.5e-07,3.40757,47.6114
4.5e-07,3.41446,47.7123
4.5e-07,3.42137,47.8134
4.5e-07,3.4283,47.9148
4.5e-07,3.43527,48.0164
4.5e-07,3.44225,48.1183
4.5e-07,3.44926,48.2205
4.5e-07,3.4563,48.323
4.5e-07,3.46336,48.4257
4.5e-07,3.47045,48.5287
4.5e-07,3.47756,48.6319
4.5e-07,3.4847,48.7355
4.5e-07,3.49186,48.8393
4.5e-07,3.49905,48.9433
4.5e-07,3.50627,49.0477
4.5e-07,3.51351,49.1523
4.5e-07,3.52078,49.2572
4.5e-07,3.52807,49.3624
4.5e-07,3.53539,49.4678
4.5e-07,3.54274,49.5736
4.5e-07,3.55012,49.6796
4.5e-07,3.55752,49.7859
4.5e-07,3.56495,49.8925
4.5e-07,3.5724,49.9993
4.5e-07,3.57989,50.1065
4.5e-07,3.5874,50.2139
4.5e-07,3.59494,50.3216
4.5e-07,3.6025,50.4296
4.5e-07,3.6101,50.5379
4.5e-07,3.61772,50.6465
4.5e-07,3.62537,50.7554
4.5e-07,3.63306,50.8646
4.5e-07,3.64077,50.974
4.5e-07,3.6485,51.0838
4.5e-07,3.65627,51.1938
4.5e-07,3.66407,51.3042
4.5e-07,3.67189,51.4148
4.5e-07,3.67975,51.5257
4.5e-07,3.68763,51.637
4.5e-07,3.69555,51.7485
4.5e-07,3.7035,51.8604
4.5e-07,3.71147,51.9725
4.5e-07,3.71948,52.0849
4.5e-07,3.72751,52.1977
4.5e-07,3.73558,52.3107
4.5e-07,3.74368,52.4241
4.5e-07,3.75181,52.5378
4.5e-07,3.75997,52.6517
4.5e-07,3.76817,52.766
4.5e-07,3.77639,52.8806
4.5e-07,3.78465,52.9955
4.5e-07,3.79293,53.1107
4.5e-07,3.80126,53.2263
4.5e-07,3.80961,53.3421
4.5e-07,3.818,53.4583
4.5e-07,3.82641,53.5748
4.5e-07,3.83487,53.6916
4.5e-07,3.84335,53.8087
4.5e-07,3.85187,53.9261
4.5e-07,3.86042,54.0439
4.5e-07,3.86901,54.162
4.5e-07,3.87763,54.2804
4.5e-07,3.88628,54.3991
4.5e-07,3.89497,54.5182
4.5e-07,3.9037,54.6376
4.5e-07,3.91245,54.7573
4.5e-07,3.92125,54.8774
4.5e-07,3.93008,54.9977
4.5e-07,3.93894,55.1184
4.5e-07,3.94784,55.2395
4.5e-07,3.95678,55.3609
4.5e-07,3.96575,55.4826
4.5e-07,3.97476,55.6046
4.5e-07,3.9838,55.727
4.5e-07,3.99288,55.8498
4.5e-07,4.002,55.9729
4.5e-07,4.01116,56.0963
4.5e-07,4.02035,56.22
4.5e-07,4.02959,56.3441
4.5e-07,4.03885,56.4686
4.5e-07,4.04816,56.5934
4.5e-07,4.05751,56.7185
4.5e-07,4.06689,56.844
4.5e-07,4.07632,56.9699
4.5e-07,4.08578,57.0961
4.5e-07,4.09528,57.2226
4.5e-07,4.10482,57.3495
4.5e-07,4.11441,57.4768
4.5e-07,4.12403,57.6044
